orderid,productid,unitprice,qty,discount
10599,62,49.30,10,0.000
10600,54,7.45,4,0.000
10600,73,15.00,30,0.000
10601,13,6.00,60,0.000
10601,59,55.00,35,0.000
10602,77,13.00,5,0.250
10603,22,21.00,48,0.000
10603,49,20.00,25,0.050
10604,48,12.75,6,0.100
10604,76,18.00,10,0.100
10605,16,17.45,30,0.050
10605,59,55.00,20,0.050
10605,60,34.00,70,0.050
10605,71,21.50,15,0.050
10606,4,22.00,20,0.200
10606,55,24.00,20,0.200
10606,62,49.30,10,0.200
10607,7,30.00,45,0.000
10607,17,39.00,100,0.000
10607,33,2.50,14,0.000
10607,40,18.40,42,0.000
10607,72,34.80,12,0.000
10608,56,38.00,28,0.000
10609,1,18.00,3,0.000
10609,10,31.00,10,0.000
10609,21,10.00,6,0.000
10610,36,19.00,21,0.250
10611,1,18.00,6,0.000
10611,2,19.00,10,0.000
10611,60,34.00,15,0.000
10612,10,31.00,70,0.000
10612,36,19.00,55,0.000
10612,49,20.00,18,0.000
10612,60,34.00,40,0.000
10612,76,18.00,80,0.000
10613,13,6.00,8,0.100
10613,75,7.75,40,0.000
10614,11,21.00,14,0.000
10614,21,10.00,8,0.000
10614,39,18.00,5,0.000
10615,55,24.00,5,0.000
10616,38,263.50,15,0.050
10616,56,38.00,14,0.000
10616,70,15.00,15,0.050
10616,71,21.50,15,0.050
10617,59,55.00,30,0.150
10618,6,25.00,70,0.000
10618,56,38.00,20,0.000
10618,68,12.50,15,0.000
10619,21,10.00,42,0.000
10619,22,21.00,40,0.000
10620,24,4.50,5,0.000
10620,52,7.00,5,0.000
10621,19,9.20,5,0.000
10621,23,9.00,10,0.000
10621,70,15.00,20,0.000
10621,71,21.50,15,0.000
10622,2,19.00,20,0.000
10622,68,12.50,18,0.200
10623,14,23.25,21,0.000
10623,19,9.20,15,0.100
10623,21,10.00,25,0.100
10623,24,4.50,3,0.000
10623,35,18.00,30,0.100
10624,28,45.60,10,0.000
10624,29,123.79,6,0.000
10624,44,19.45,10,0.000
10625,14,23.25,3,0.000
10625,42,14.00,5,0.000
10625,60,34.00,10,0.000
